comment_id,creation_time,likes,author_id,author_nickname,content,reply_to_comment_id
72-2-148db23b-0154-4d5e-bb49-26ab0f17c794,2024-02-10T21:19:57.172747Z,4,d01c1628-e68f-4d4a-80c6-b2c17c3ea8c3,alpoturunen7,Viime euro viisuis oli mahikset nyt ei😡,None
72-2-3b46e1af-4869-4623-822f-225f494a23f0,2024-02-10T21:20:01.420670Z,2,b586df2f-762c-4ad5-a291-083d0e186312,Mattiaukusti,Ketäpä kiinnostaa viisut tämän jälkern,None
72-2-a2508990-3e63-4066-ba17-b63135d4711f,2024-02-10T21:19:50.547047Z,4,6869c89a-7d8f-47e6-a829-108ac0d4c7d9,hellu07,Pääsispä joku nainenki välil edustaa suomee,None
72-2-f85263e0-c49c-4687-a474-9f5fcd565e3d,2024-02-10T21:20:16.296522Z,7,59e163a2-5d19-4b3e-ba6a-30f364bd810b,catarinamauno,Tää chatti melkee parempaa viihdettä ku ite ohjelma😂 voitto meni oikeesee osotteessen👌🏻,None
72-2-cdc2c090-f767-4aa3-8829-3a2bb22c0573,2024-02-10T21:19:49.514905Z,1,f9f646b3-9628-4fc5-a564-9d77549ff999,vanessap02,The last be first,None
72-2-0f54d5a9-e1a6-4e57-be7f-de250d41fdad,2024-02-10T21:20:08.427204Z,2,10c61f72-c524-47f2-83b3-dfda6a008ab4,realEetunen,Windows95man,72-2-8664dfff-29aa-4c91-99c3-0655613bae3c
72-2-f26478d7-b1d9-4d4c-b49d-11afdac6c3a3,2024-02-10T21:20:13.613867Z,3,6deac0ca-214d-4a89-a04c-36b03273dc0d,OP2,MANIA olis ollu erottuja ,None
72-2-ce15e17e-6ed6-4a9f-a5f5-805be36bc0be,2024-02-10T21:20:00.936248Z,4,43ce6add-3b43-4284-ab19-5f96d6614a7e,EK67,Tsätti kiinni äänestyksen ajaksi kun ei kerta kaistat riitä. Tai äänestysäppi pois kokonaan😖😖,None
72-2-36de7fcb-23f5-4445-89df-13d39e102aab,2024-02-10T21:19:55.028001Z,0,3cba2a0c-2ee7-40b2-9709-3acafd6064bd,Tume_89,Kiitos modeille tästä illasta! ,None
72-2-cf04c741-b7e8-4d21-a201-d2dc44a08d7c,2024-02-10T21:20:00.330451Z,0,49551791-93ff-4d31-b3bc-97875e39b2eb,V3rdict,paras voitti,None
72-2-46804cd9-fc6b-476c-933d-6b6a40535375,2024-02-10T21:20:03.682112Z,1,02cc5e47-3f59-43f8-a390-ebd4f168acfb,kerduli,Hyvästit 3 vuoden striikkii,None
72-2-8b80ef3b-b8af-4ea0-97e4-930d36426ccc,2024-02-10T21:20:06.141574Z,4,4b82ff6d-1f48-455e-b1b9-ca39626f7525,Tittinet,VAINU HOITAA HOMMAN,None
